gene	consensus_z	consensus_p	consensus_fdr	n_primary_endpoints	n_positive_endpoint_z	n_negative_endpoint_z	mean_abs_endpoint_z	direction_in_chk1i_sensitive_state	abs_consensus_z
SRPX	3.0541147601819043	0.00225725715179868	0.0153724096488936	3	2	1	1.8925580824908952	higher_in_sensitive	3.0541147601819043
H3C11	3.053742106742771	0.0022600627537835826	0.015386058420970645	3	3	0	1.7630788273636335	higher_in_sensitive	3.053742106742771
USP10	3.0530920574901654	0.0022649644386116574	0.015413962173862672	3	3	0	1.7627035212526554	higher_in_sensitive	3.0530920574901654
GAS8	3.052936699053283	0.002266137357246189	0.015416479441676944	3	3	0	1.7626138250173005	higher_in_sensitive	3.052936699053283
CHEK2	3.0526637724034478	0.002268199235024987	0.015425040352111124	3	3	0	1.762456250742549	higher_in_sensitive	3.0526637724034478
GRIN2C	-3.0520894602050923	0.002272543603512503	0.015449111933510281	3	0	3	1.7621246714402297	lower_in_sensitive	3.0520894602050923
TFE3	-3.0519235832241	0.0022737997933333287	0.015452179976075486	3	0	3	1.7620289023206013	lower_in_sensitive	3.0519235832241
FOLR2	-3.04997562730797	0.0022885993772646784	0.015547250829698264	3	0	3	1.760904249448054	lower_in_sensitive	3.04997562730797
IQCG	-3.0494999843690875	0.0022922264496874085	0.015566382518959627	3	0	3	1.7606296368692522	lower_in_sensitive	3.0494999843690875
ERCC6L	3.0490697888102667	0.002295511491712265	0.015579259698031261	3	2	1	1.7686215206049936	higher_in_sensitive	3.0490697888102667
KCNK12	-3.049039141190167	0.0022957456863074506	0.015579259698031261	3	0	3	1.7603635689358483	lower_in_sensitive	3.049039141190167
SOCS1	3.0487458773995884	0.002297987776211076	0.015588964426749199	3	3	0	1.7601942530074142	higher_in_sensitive	3.0487458773995884
FRA10AC1	3.0483132366206744	0.0023012991073186133	0.015605913197563668	3	3	0	1.7599444677372456	higher_in_sensitive	3.0483132366206744
